filename,description
bokeh-network-1.png,Warm golden bokeh nodes connected by light threads close-up
bokeh-network-2.png,Orange and blue bokeh network of connected light points wide view
business-meeting.png,Two professionals meeting in sunlit modern glass lobby
butterflies-laptop.png,Colorful paper butterflies erupting from an open laptop screen
glass-building-1.png,Modern glass cube building glowing orange at sunset angled view
glass-building-2.png,Modern glass cube building at sunset centered symmetric view
glass-prisms.png,Cluster of glass cubes refracting warm orange and cool blue light
glass-spheres-1.png,Translucent spheres reflecting city skyline with one floating large
glass-spheres-2.png,Glass and orange spheres on reflective surface with city backdrop
hallway-sunset.png,Sleek modern hallway with floor-to-ceiling windows at golden hour
koi-splash.png,Koi fish leaping with dynamic water and petal splash dark background
lanterns-blue.png,Blue glass lanterns hanging among orange maple leaves
lanterns-warm.png,Paper lanterns glowing among autumn maple leaves and warm bokeh
light-trails.png,Long exposure city traffic with orange light streaks at night
mosaic-gaze.png,Close-up male face in orange and white mosaic with intense eyes
mosaic-photographer.png,Mosaic figure holding a camera made of orange and navy tiles
mosaic-profile.png,Collage-style woman in profile looking upward in orange and blue
mosaic-shattered.png,Woman face in red and blue shattered fragment mosaic style
mosaic-trio.png,Three women faces in profile layered mosaic portrait
origami-ocean.png,Colorful origami cranes scattered across ocean surface at sunset
paint-splash-blue.png,Orange and blue paint splash suspended against deep blue background
paint-splash-dark.png,Orange and blue paint collision mid-splash on dark background
paint-splash-light.png,Orange and blue liquid paint intertwining on light gray background
paint-waves-1.png,Blue orange and white paint waves exploding on dark background
paint-waves-2.png,Flowing orange and blue paint ribbons in organic swirling form
sakura-branch-blue.png,Delicate sakura branch with golden accents on deep blue background
sakura-circle-bokeh.png,Warm sakura branch framed in circular overlay with city bokeh
sakura-minimal.png,Minimal cherry blossom branch on pale gray background
sakura-petals.png,Floating cherry blossom petals against dark bokeh background
sakura-portrait.png,Woman face surrounded by swirling orange and white flowers
sakura-striped.png,Translucent striped cherry blossom petals on dark blue background
sakura-water.png,Cherry blossom branch touching still blue water with droplets
smoke-collision.png,Blue and orange smoke colliding with sparks on dark background
smoke-golden.png,Dense golden smoke wisps layered with blue tones close-up
smoke-warm.png,Golden and blue smoke tendrils flowing horizontally on dark background
tokyo-shattered.png,Tokyo skyline at golden hour seen through shattered glass overlay
office-terrace.png,Glass office building exterior with city view at dusk
water-ripples.png,City skyline watercolor reflection with orange and blue tones
